# id, cityname, citycode, airportname, airportcode
8667,Shirahama,SHM,Nanki-Shirahama,SHM
8668,Shiraz,SYZ,Shahid Dastghaib Intl,SYZ
8669,Shiringayoc,SYC,Shiringayoc,SYC
8670,Shishmaref,SHH,Shishmaref,SHH
8671,Shonai,SYO,Shonai,SYO
8672,Show Low,SOW,Regional,SOW
8673,Shreveport,SHV,Barksdale AFB,BAD
8674,Shreveport,SHV,Downtown Apt,DTN
8675,Shreveport,SHV,Regional,SHV
8676,Shungnak,SHG,Shungnak,SHG
8677,Sialkot,SKT,International,SKT
8678,Sialum,SXA,Sialum,SXA
8679,Siasi,SSV,Siasi,SSV
8680,Siassi,SSS,Siassi,SSS
8681,Siauliai,SQQ,International,SQQ
8682,Sibi,SBQ,Sibi,SBQ
8683,Sibiti,SIB,Sibiti,SIB
8684,Sibiu,SBZ,Sibiu,SBZ
8685,Sibu,SBW,Sibu,SBW
8686,Sidi Barrani,SQK,Sidi Barrani,SQK
8687,Sidi Ifni,SII,Sania Ramel,SII
8688,Sidney,SDY,Richland Municipal,SDY
8689,Sidney,SNY,Municipal,SNY
8690,Sidney,SXY,Municipal,SXY
8691,Siegen,SGE,Siegerland,SGE
8692,Siena,SAY,Ampugnano,SAY
8693,Sierra Grande,SGV,Sierra Grande,SGV
8694,Siglufjordur,SIJ,Siglufjordur,SIJ
8695,Siguanea,SZJ,Siguanea,SZJ
8696,Siirt,SXZ,Siirt,SXZ
8697,Sikeston,SIK,Memorial Municipal,SIK
8698,Sila,SIL,Sila,SIL
8699,Silistra,SLS,Polkovnik-Lambrinovo,SLS
8700,Siloam Springs,SLG,Smith Field,SLG
8701,Silur,SWR,Silur,SWR
8702,Silver City,SVC,Grant County,SVC
8703,Silver Creek,SVK,Silver Creek,SVK
8704,Silver Plains,SSP,Silver Plains,SSP
8705,Sim,SMJ,Sim,SMJ
8706,Simao,SYM,Simao,SYM
8707,Simara,SIF,Simara,SIF
8708,Simbai,SIM,Simbai,SIM
8709,Simenti,SMY,Simenti,SMY
8710,Simferopol,SIP,International,SIP
8711,Sines,SIE,Sines,SIE
8712,Singapore,SIN,Paya Lebar,QPG
8713,Singapore,SIN,Changi,SIN
8714,Singapore,SIN,Tengah,TGA
8715,Singapore,SIN,Seletar,XSP
8716,Singaua,SGB,Singaua,SGB
8717,Singita Safari Lodge,SSX,Singita Safari Lodge,SSX
8718,Singkep,SIQ,Dabo,SIQ
8719,Singleton,SIX,Singleton,SIX
8720,Sintang,SQG,Susilo,SQG
8721,Sion,SIR,Sion,SIR
8722,Sioux City,SUX,Sioux Gateway,SUX
8723,Sipitang,SPT,Sipitang,SPT
8724,Sirjan,SYJ,Sirjan,SYJ
8725,Sirri Island,SXI,Sirri Island,SXI
8726,Sirte,SRX,Gardabya,SRX
8727,Sishen,SIS,Sishen,SIS
8728,Sissano,SIZ,Sissano,SIZ
8729,Sitiawan,SWY,Sitiawan,SWY
8730,Sitka,SIT,Rocky Gutierrez,SIT
8731,Siuna,SIU,Siuna,SIU
8732,Siwa Oasis,SEW,North,SEW
8733,Siwea,SWE,Siwea,SWE
8734,Skagway,SGY,Skagway,SGY
8735,Skeldon,SKM,Skeldon,SKM
8736,Skelleftea,SFT,Skelleftea,SFT
8737,Skien,SKE,Geiteryggen,SKE
8738,Skikda,SKI,Skikda,SKI
8739,Skive,SQW,Airport,SQW
8740,Skopje,SKP,Alexander the Great,SKP
8741,Skukuza,SZK,Skukuza,SZK
8742,Skwentna,SKW,Skwentna,SKW
8743,Skye,SKL,Broadford,SKL
8744,Skyros,SKU,Skyros,SKU
8745,Sleetmute,SLQ,Sleetmute,SLQ
8746,Sliac,SLD,Sliac,SLD
8747,Sligo,SXL,Airport,SXL
8748,Smara,SMW,Smara,SMW
8749,Smith Point,SHU,Smith Point,SHU
8750,Smithton,SIO,Smithton,SIO
8751,Snyder,SNK,Winston Field,SNK
8752,Soc Trang,SOA,Soc Trang,SOA
8753,Socotra,SCT,Socotra,SCT
8754,Sodankyla,SOT,Sodankyla,SOT
8755,Soderhamn,SOO,Soderhamn,SOO
8756,Sodo,SXU,Sodo,SXU
8757,Sofia,SOF,Sofia,SOF
8758,Sogamoso,SOX,Alberto Lleras Camargo,SOX
8759,Sogndal,SOG,Haukasen,SOG
8760,Sokhumi,SUI,Dranda,SUI
8761,Sokoto,SKO,Sadiq Abubakar III Int,SKO
8762,Sola,SLH,Vanua Lava,SLH
8763,Solano,SQF,Solano,SQF
8764,Solapur,SSE,Solapur,SSE
8765,Soldotna,SXQ,Soldotna,SXQ
8766,Solenzara,SOZ,Solenzara,SOZ
8767,Solita,SOH,Solita,SOH
8768,Solomon,SLJ,Solomon,SLJ
8769,Solomon,SOL,State Field,SOL
8770,Solwezi,SLI,Solwezi,SLI
8771,Somerset,SME,Lake Cumberland Rgnl,SME
8772,Son La,SQH,Na San,SQH
8773,Sonderborg,SGD,Airport,SGD
8774,Songea,SGX,Songea,SGX
8775,Songkhla,SGZ,Songkhla,SGZ
8776,Sopu,SPH,Sopu,SPH
8777,Sorkjosen,SOJ,Sorkjosen,SOJ
